Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price
VW,Passat,1.8,Petrol,2006.0,123217.0,8439
VW,Polo,1.0,Petrol,1999.0,,1591
Toyota,RAV4,,Hybrid,2018.0,17566.0,58673
Porsche,Cayenne,,Petrol,2010.0,87496.0,32306
Ford,Mondeo,2.0,Petrol,,50308.0,17161
BMW,X3,,Diesel,1999.0,183092.0,4344
BMW,Z4,,Petrol,2013.0,,32506
Toyota,Prius,1.4,Hybrid,,143289.0,5065
VW,Passat,1.8,Diesel,2010.0,,13234
VW,Golf,1.2,Petrol,1996.0,86511.0,3724
Toyota,RAV4,2.2,Hybrid,1987.0,228064.0,1510
VW,Polo,1.6,Petrol,1991.0,,2482
,X3,2.0,Diesel,1997.0,169173.0,3908
Toyota,Yaris,,Hybrid,,,4680
VW,Passat,1.6,Petrol,1993.0,131722.0,3129
Ford,Mondeo,1.4,Diesel,1992.0,144080.0,2465
Ford,Fiesta,1.0,Petrol,2003.0,142865.0,2904
Toyota,RAV4,1.8,Hybrid,2016.0,48822.0,38721
Toyota,Yaris,1.2,Hybrid,2002.0,114175.0,5177
Ford,Mondeo,1.4,Diesel,2006.0,124116.0,7345
VW,Passat,1.4,Petrol,,106898.0,6897
Ford,Fiesta,1.0,Hybrid,2004.0,156806.0,3324
,Golf,1.4,,1994.0,,2339
BMW,M5,5.0,Petrol,2020.0,25616.0,131376
Porsche,Cayenne,3.0,Petrol,1997.0,158805.0,6781
Ford,Focus,,,2011.0,69673.0,20957
VW,Passat,1.4,Diesel,2011.0,55934.0,17566
BMW,Z4,,Petrol,2001.0,94143.0,10227
Ford,Focus,,Diesel,2008.0,114545.0,7704
Toyota,Prius,,Hybrid,2010.0,40985.0,17266
Ford,Focus,2.0,Petrol,2018.0,28791.0,35888
Ford,Fiesta,1.0,Petrol,2002.0,132779.0,2945
,911,2.2,Petrol,2017.0,42658.0,76403
VW,Polo,1.4,Petrol,2013.0,54389.0,13052
Ford,Mondeo,1.4,Hybrid,2005.0,107014.0,8944
VW,Golf,1.6,Petrol,2008.0,100339.0,8666
Toyota,Yaris,1.2,Hybrid,1993.0,288144.0,623
Toyota,Prius,,Hybrid,1990.0,,624
VW,Golf,2.0,Petrol,2005.0,177462.0,4286
Toyota,Prius,1.8,Hybrid,2003.0,157805.0,6229
VW,Golf,1.6,Petrol,,72443.0,14716
VW,Polo,2.0,Petrol,1999.0,,3102
Porsche,Cayenne,4.0,Petrol,,103757.0,15765
VW,Golf,1.2,Petrol,1988.0,316092.0,299
Ford,Fiesta,1.4,Petrol,2004.0,101287.0,5062
VW,Golf,1.2,Diesel,2010.0,106266.0,8619
BMW,Z4,2.2,Petrol,1985.0,,336
Ford,Focus,1.8,Petrol,2013.0,37162.0,23236
VW,Golf,1.8,Petrol,1994.0,36543.0,5519
Toyota,Prius,1.4,Hybrid,2005.0,119456.0,8529
BMW,Z4,2.2,Petrol,1991.0,255843.0,1151
Ford,Mondeo,1.4,Diesel,2003.0,145880.0,5059
Ford,Focus,2.0,Petrol,2006.0,121398.0,8617
VW,Golf,1.2,Petrol,2003.0,70829.0,6614
Toyota,Yaris,1.0,Hybrid,2000.0,114904.0,4113
VW,Passat,1.8,Diesel,2000.0,189246.0,3445
VW,Passat,1.4,Diesel,2004.0,95125.0,8439
Porsche,911,,Petrol,1995.0,301019.0,2096
Ford,Fiesta,1.4,Petrol,,171382.0,3543
VW,Polo,1.4,Petrol,2013.0,87076.0,10487
VW,Polo,,Petrol,2001.0,123907.0,3031
Ford,Focus,1.4,Diesel,1989.0,193665.0,1341
BMW,Z4,2.0,Petrol,2014.0,63047.0,24595
VW,Passat,1.6,Diesel,1992.0,240338.0,1206
Toyota,Yaris,1.0,Hybrid,1990.0,148494.0,1620
VW,Polo,1.2,Petrol,2003.0,89182.0,4911
Ford,Focus,,,1993.0,197353.0,1364
Ford,Focus,2.0,Diesel,1992.0,248207.0,1198
BMW,Z4,3.0,Petrol,2015.0,32009.0,38988
VW,Passat,1.6,Diesel,1996.0,194648.0,2373
Toyota,Yaris,1.0,Hybrid,,179681.0,2598
Ford,Focus,1.0,Petrol,1988.0,227777.0,745
Toyota,RAV4,1.8,Petrol,2018.0,36382.0,39751
Ford,Mondeo,1.8,Diesel,1995.0,171296.0,2725
Ford,Fiesta,1.0,Petrol,2015.0,46827.0,12874
Toyota,Yaris,1.0,Petrol,2013.0,80175.0,10492
Porsche,Cayenne,2.6,Petrol,2007.0,76478.0,23019
Ford,Mondeo,1.4,Diesel,1993.0,69453.0,4585
Toyota,Yaris,1.2,Hybrid,1992.0,138088.0,2206
Ford,Mondeo,1.4,Petrol,2003.0,33382.0,10659
VW,Passat,1.4,Diesel,2018.0,47080.0,29609
Ford,Focus,2.0,Diesel,2015.0,48549.0,27428
VW,Golf,1.6,Diesel,2000.0,,2575
Toyota,Yaris,1.2,Petrol,1985.0,239410.0,480
Ford,Fiesta,1.4,Petrol,2002.0,87047.0,4908
VW,Golf,1.6,Petrol,1992.0,240616.0,919
Ford,Fiesta,1.2,,2011.0,89952.0,8112
Ford,Fiesta,1.0,Petrol,2013.0,,11167
BMW,M5,5.0,Petrol,2011.0,95798.0,45821
Ford,Mondeo,,Hybrid,,153636.0,2550
Ford,Fiesta,1.0,Petrol,2014.0,,13947
BMW,Z4,2.4,Petrol,1998.0,33571.0,11125
Porsche,Cayenne,3.0,Diesel,1991.0,201996.0,3295
Ford,Mondeo,1.6,Diesel,2021.0,5663.0,46248
Ford,Fiesta,1.2,Petrol,2008.0,134273.0,4756
Toyota,Prius,1.8,Hybrid,1999.0,141987.0,5429
Toyota,Prius,1.4,,,98911.0,16955
Ford,Fiesta,1.0,Petrol,,75321.0,8198
VW,Golf,1.2,Diesel,2017.0,27654.0,23086
,Prius,1.8,Hybrid,2003.0,29522.0,15537
BMW,Z4,2.0,Petrol,2002.0,110328.0,7924
Porsche,Cayenne,2.6,Diesel,2004.0,106847.0,15931
VW,Passat,1.4,Diesel,1998.0,201450.0,2389
BMW,M5,4.4,Petrol,2016.0,,82475
Ford,Mondeo,1.6,Hybrid,,109459.0,10727
VW,Passat,1.6,Diesel,2005.0,80815.0,10670
Ford,Focus,1.8,Petrol,1995.0,163626.0,2794
Porsche,Cayenne,4.0,Diesel,2019.0,23725.0,92636
Ford,Focus,1.8,Petrol,,195617.0,2427
Toyota,Prius,1.8,Hybrid,2003.0,,8920
Ford,Mondeo,1.6,Diesel,2012.0,,13503
Toyota,Prius,1.4,Hybrid,2008.0,97818.0,12246
VW,Polo,1.4,Petrol,2006.0,,8874
Toyota,Prius,1.0,Hybrid,1996.0,170383.0,2620
,Prius,1.8,Hybrid,1994.0,241743.0,1635
VW,Passat,2.0,Diesel,2017.0,10169.0,40873
Ford,Fiesta,1.2,,1988.0,134305.0,1253
VW,Golf,1.2,Diesel,1992.0,124150.0,2266
Toyota,RAV4,1.8,Hybrid,,3264.0,74705
Toyota,Prius,,Hybrid,2012.0,106158.0,15038
VW,Passat,1.6,,1997.0,72646.0,6618
VW,Passat,,Petrol,1990.0,176022.0,1989
,Focus,1.4,Petrol,1985.0,314827.0,319
VW,Polo,2.0,Petrol,2004.0,130764.0,4962
Ford,Mondeo,2.0,Diesel,2017.0,35116.0,33674
Toyota,Yaris,1.0,Petrol,2016.0,,16789
Toyota,Prius,1.4,Hybrid,2010.0,92985.0,14489
Ford,Focus,,Petrol,2003.0,133980.0,5719
VW,Golf,1.6,Diesel,1999.0,135732.0,3810
VW,Polo,1.6,Petrol,1993.0,244369.0,800
Ford,Mondeo,2.0,Diesel,2020.0,23521.0,43954
Toyota,Yaris,,Hybrid,,67180.0,12031
Toyota,RAV4,1.8,Hybrid,,232638.0,3117
VW,Polo,2.0,Petrol,2003.0,113766.0,5293
VW,Golf,1.6,Diesel,1999.0,69193.0,6210
,Polo,1.4,Petrol,1995.0,154407.0,1883
Ford,Focus,1.8,Hybrid,2009.0,82072.0,15991
VW,Golf,1.6,,1996.0,13500.0,6768
Ford,Mondeo,2.0,Hybrid,2007.0,72156.0,15643
VW,Polo,1.2,Petrol,2006.0,111917.0,5078
Ford,Mondeo,2.0,Diesel,1993.0,292886.0,835
BMW,Z4,,Petrol,2010.0,88663.0,15823
,Polo,1.6,Petrol,2011.0,78446.0,10418
Toyota,RAV4,2.0,Petrol,1994.0,138999.0,4114
,RAV4,2.4,Hybrid,2000.0,33955.0,16828
Toyota,Yaris,1.0,Hybrid,2013.0,83889.0,12270
Porsche,911,2.2,Petrol,1995.0,239389.0,3732
VW,Golf,2.0,Petrol,,,1400
VW,Passat,1.4,Diesel,2007.0,81596.0,11343
Toyota,Yaris,,Petrol,2012.0,75358.0,12004
Toyota,Prius,1.0,Hybrid,2018.0,,30297
Ford,Focus,,Diesel,,76887.0,11553
VW,Golf,1.6,,1990.0,,1915
Ford,Mondeo,2.0,Diesel,2010.0,104747.0,13275
Toyota,RAV4,2.4,Hybrid,2004.0,144027.0,10116
Toyota,Yaris,1.0,Hybrid,1987.0,,1033
Toyota,RAV4,,Hybrid,2019.0,25042.0,60178
Toyota,Yaris,1.4,Hybrid,2017.0,38528.0,25431
Toyota,RAV4,2.0,Hybrid,1994.0,154991.0,4335
BMW,X3,2.4,Diesel,1984.0,386079.0,238
VW,Passat,1.8,Petrol,1993.0,127371.0,3434
Toyota,Prius,1.8,Hybrid,1990.0,131903.0,3229
VW,Polo,1.4,Petrol,2005.0,106095.0,5360
Ford,Fiesta,1.2,Petrol,1989.0,188883.0,850
Ford,Focus,,Petrol,2007.0,141632.0,7450
Ford,Mondeo,1.6,Diesel,1992.0,71094.0,4536
Ford,Focus,1.0,,1991.0,179780.0,1391
VW,Polo,1.6,Diesel,2006.0,43929.0,9803
Toyota,RAV4,2.2,Hybrid,2006.0,76091.0,18403
,Passat,,Petrol,2006.0,126292.0,7266
Toyota,RAV4,2.2,Hybrid,2015.0,33168.0,43997
VW,Passat,2.0,Diesel,1999.0,163665.0,4226
Toyota,RAV4,2.2,Petrol,1993.0,204409.0,2320
Toyota,RAV4,2.2,Petrol,2002.0,,10547
Ford,Focus,1.8,Petrol,2009.0,64624.0,14993
Porsche,Cayenne,2.6,Petrol,2016.0,35264.0,54508
,Fiesta,1.2,Petrol,1993.0,163667.0,1376
,Fiesta,1.4,Diesel,2021.0,,29342
BMW,X3,,Diesel,1993.0,166851.0,3053
Toyota,Prius,1.4,Hybrid,2005.0,119999.0,8493
Ford,Fiesta,1.2,Petrol,1990.0,155763.0,1203
Toyota,Prius,,Hybrid,2010.0,14262.0,26965
VW,Golf,1.4,Petrol,2003.0,162334.0,3567
Ford,Fiesta,1.2,Petrol,2006.0,94936.0,5609
Ford,Mondeo,1.8,Diesel,1998.0,114457.0,5261
Ford,Focus,1.8,Petrol,2014.0,65754.0,20769
Ford,Mondeo,2.0,Diesel,1993.0,245384.0,1302
Ford,Fiesta,1.2,Petrol,,111861.0,5292
BMW,M5,,Petrol,1999.0,163026.0,11409
Toyota,RAV4,,Hybrid,2020.0,14368.0,68209
Toyota,RAV4,1.8,Hybrid,,96061.0,6948
Ford,Mondeo,1.4,Diesel,2002.0,122147.0,5712
BMW,M5,5.0,,2011.0,104411.0,43024
Toyota,Yaris,1.2,Petrol,2019.0,30153.0,23545
BMW,X3,,Diesel,2004.0,118168.0,10305
VW,Polo,1.0,Petrol,2009.0,,8953
BMW,Z4,2.2,Petrol,,116106.0,6963
VW,Polo,2.0,Petrol,1994.0,214275.0,1256
VW,Golf,1.8,Petrol,2005.0,,7432
Toyota,RAV4,2.4,Hybrid,1996.0,84077.0,9339
Porsche,718 Cayman,,Petrol,2021.0,18063.0,68043
Toyota,Yaris,1.2,Petrol,1999.0,192056.0,1865
VW,Golf,1.4,Petrol,1991.0,214503.0,1019
VW,Passat,1.8,Diesel,2007.0,132455.0,8811
BMW,M5,4.0,Petrol,2004.0,95428.0,25769
VW,Polo,1.0,Petrol,,,16609
BMW,M5,4.0,Petrol,2006.0,132428.0,22252
VW,Passat,1.8,Petrol,2015.0,47828.0,26058
VW,Passat,2.0,Diesel,1995.0,94349.0,5566
Toyota,Prius,1.4,Hybrid,2017.0,39606.0,32848
VW,Passat,1.8,Diesel,2017.0,50628.0,30725
BMW,Z4,2.0,Petrol,2011.0,91666.0,16556
VW,Passat,1.8,Diesel,1990.0,100682.0,3614
Toyota,Yaris,1.4,Hybrid,2006.0,96767.0,8307
Ford,Fiesta,1.2,Petrol,1995.0,133524.0,2011
VW,Polo,2.0,,1995.0,,1501
Toyota,RAV4,2.4,Hybrid,2000.0,157229.0,6954
VW,Passat,1.4,Petrol,1988.0,412764.0,157
Ford,Focus,,Diesel,,39346.0,12461
VW,Polo,1.2,Petrol,2007.0,32844.0,9232
BMW,X3,,Diesel,1998.0,183732.0,4042
VW,Passat,1.8,Diesel,1995.0,181526.0,2638
VW,Polo,1.6,Diesel,1991.0,105875.0,2370
Toyota,Yaris,1.4,Hybrid,1994.0,,2655
VW,Passat,1.4,Petrol,2007.0,103364.0,9244
Ford,Focus,2.0,Petrol,2001.0,191431.0,3464
VW,Golf,,Petrol,2017.0,,23375
Ford,Focus,1.4,Petrol,2015.0,60262.0,20294
,X3,2.0,Diesel,2013.0,28101.0,31413
Ford,Focus,1.6,Diesel,2006.0,107747.0,8976
BMW,M5,5.0,Petrol,2004.0,38823.0,41880
,Polo,2.0,Petrol,2014.0,55805.0,16527
Ford,Focus,2.0,Diesel,1999.0,,5795
VW,Polo,1.6,Petrol,2000.0,98502.0,4342
VW,Golf,1.4,Diesel,2019.0,13046.0,30879
Toyota,Prius,1.4,Hybrid,1990.0,154471.0,2373
,Cayenne,3.5,,2020.0,23108.0,88520
Ford,Focus,1.0,Diesel,1985.0,244568.0,549
Ford,Fiesta,1.2,Petrol,2000.0,102535.0,3557
Toyota,Yaris,,,2016.0,,25250
VW,Passat,1.4,Diesel,2004.0,137260.0,6124
Ford,Focus,1.0,Petrol,,,31653
Ford,Fiesta,1.0,Petrol,2017.0,49445.0,14475
Toyota,RAV4,2.0,Hybrid,2012.0,42811.0,32434
VW,Polo,,Petrol,1995.0,138273.0,2146
BMW,Z4,2.2,Petrol,2017.0,55773.0,33018
Toyota,RAV4,2.0,Hybrid,2006.0,98546.0,14976
Ford,Focus,1.0,Petrol,,18399.0,25159
Ford,Mondeo,2.0,Diesel,1995.0,86661.0,5565
VW,Golf,2.0,Petrol,1993.0,146249.0,2499
Ford,Focus,2.0,Diesel,1994.0,206908.0,1990
Toyota,Yaris,1.4,Petrol,1985.0,304167.0,282
VW,Polo,2.0,Petrol,1988.0,261608.0,546
Ford,Mondeo,1.6,Petrol,1992.0,241331.0,1077
BMW,X3,2.4,Diesel,2011.0,96316.0,19338
BMW,X3,2.0,Diesel,2012.0,85667.0,20358
Ford,Focus,1.6,Petrol,2017.0,3000.0,34513
VW,Golf,2.0,Petrol,2010.0,110835.0,10242
VW,Golf,1.8,Hybrid,2022.0,6170.0,50668
Toyota,Prius,1.0,Hybrid,2011.0,103426.0,12132
VW,Polo,,Petrol,2010.0,,6504
Ford,Mondeo,1.6,Diesel,1991.0,362329.0,334
Ford,Fiesta,1.2,Petrol,2004.0,114781.0,4238
Porsche,718 Cayman,2.4,Petrol,2013.0,53994.0,32305
Toyota,Prius,1.4,Hybrid,1998.0,190908.0,2970
Ford,Fiesta,,Petrol,,,4725
Ford,Fiesta,1.0,Petrol,,19255.0,19733
BMW,M5,4.0,,2022.0,4302.0,150558
VW,Passat,1.4,Petrol,1997.0,119268.0,4210
Toyota,Prius,1.8,Hybrid,2008.0,51671.0,18986
Toyota,Prius,1.8,Hybrid,2007.0,108300.0,12024
Toyota,Prius,1.4,Hybrid,2015.0,24919.0,31304
VW,Golf,2.0,Petrol,2010.0,68124.0,13866
Toyota,RAV4,2.2,Petrol,1993.0,129277.0,4360
VW,Polo,1.0,Petrol,2008.0,67989.0,7237
VW,Polo,1.6,Petrol,2015.0,35831.0,17857
,Yaris,1.4,Petrol,2005.0,135649.0,4817
Ford,Fiesta,1.2,Petrol,2001.0,122162.0,3279
Ford,Fiesta,1.0,Petrol,1990.0,,750
Ford,Fiesta,1.2,Petrol,1984.0,301208.0,217
VW,Polo,1.4,Petrol,,142506.0,1301
Toyota,Prius,1.8,Hybrid,2013.0,60329.0,25077
Ford,Mondeo,1.4,Diesel,1997.0,138844.0,3589
Toyota,Yaris,1.0,,2016.0,46622.0,19146
Ford,Focus,2.0,Diesel,2008.0,62554.0,15735
VW,Passat,1.6,Diesel,1993.0,228439.0,1437
Ford,Focus,2.0,Diesel,1999.0,91439.0,7089
VW,Golf,1.6,Diesel,2004.0,119907.0,6018
Toyota,Prius,1.0,Hybrid,,195341.0,2259
Toyota,RAV4,2.0,Petrol,2001.0,113066.0,8029
VW,Passat,2.0,Diesel,1990.0,275076.0,854
Ford,Mondeo,1.6,,2007.0,68094.0,12579
Ford,Mondeo,1.6,Hybrid,2004.0,49291.0,13282
VW,Polo,1.0,Petrol,2007.0,112752.0,4924
Toyota,RAV4,1.8,Hybrid,1998.0,,9562
VW,Polo,1.6,Diesel,2014.0,89914.0,12332
Toyota,Prius,1.8,Hybrid,1998.0,162537.0,4290
VW,Passat,1.4,Diesel,,88565.0,11547
,Passat,2.0,Diesel,2014.0,26104.0,30679
Porsche,718 Cayman,4.0,,2014.0,61727.0,42425
Ford,Focus,1.6,Petrol,1996.0,226676.0,1622
VW,Golf,1.6,Petrol,1988.0,210863.0,921
BMW,Z4,3.0,Petrol,2013.0,97824.0,22164
VW,Polo,1.4,Petrol,2003.0,153989.0,3221
Ford,Mondeo,,Diesel,1995.0,165437.0,2525
Ford,Focus,1.8,Diesel,2012.0,72577.0,18237
Toyota,RAV4,2.4,Hybrid,1999.0,43167.0,14902
Toyota,RAV4,,Hybrid,2018.0,16807.0,61535
BMW,Z4,,Petrol,1999.0,12000.0,13410
Ford,Mondeo,1.6,Diesel,1997.0,70108.0,6372
VW,Golf,1.4,Hybrid,2017.0,61942.0,23120
Toyota,RAV4,2.2,Hybrid,1989.0,140697.0,3660
,Focus,,Diesel,2007.0,68107.0,14192
VW,Golf,1.8,Diesel,2005.0,,7057
Ford,Focus,1.0,Petrol,1994.0,224719.0,1142
VW,Passat,1.4,Petrol,2010.0,89368.0,12494
Toyota,Yaris,1.2,Hybrid,2013.0,24278.0,19581
Ford,Focus,1.0,Diesel,2011.0,,12615
Porsche,Cayenne,3.5,Petrol,2020.0,29599.0,85330
Ford,Fiesta,1.2,Petrol,2012.0,50952.0,11255
VW,Passat,2.0,Diesel,1990.0,181130.0,1999
Ford,Fiesta,1.4,Petrol,2003.0,63815.0,6145
Ford,Focus,2.0,Petrol,,42157.0,33177
BMW,X3,3.0,Diesel,1999.0,162574.0,5782
VW,Golf,1.2,Diesel,1999.0,116600.0,3830
,Polo,2.0,Petrol,2010.0,84945.0,10417
,Mondeo,1.8,Diesel,2005.0,143469.0,6684
VW,Golf,1.2,Diesel,2015.0,,17433
Ford,Fiesta,1.4,Petrol,2007.0,117280.0,5485
Toyota,Prius,1.8,Hybrid,2018.0,34557.0,41022
VW,Golf,1.2,Petrol,1999.0,134627.0,3170
BMW,Z4,2.4,Petrol,1989.0,257888.0,1032
Toyota,Yaris,1.0,Hybrid,2002.0,118815.0,4562
Ford,Fiesta,1.2,Hybrid,2017.0,43168.0,19775
VW,Polo,1.0,Petrol,2016.0,26387.0,15936
VW,Passat,1.4,Diesel,,75589.0,13507
Ford,Focus,2.0,Petrol,1999.0,198961.0,2838
BMW,Z4,,Petrol,2009.0,57882.0,18221
Toyota,Yaris,1.4,Hybrid,2019.0,16351.0,32960
Ford,Focus,1.4,Diesel,2009.0,100240.0,10840
Porsche,Cayenne,3.0,Diesel,1994.0,238037.0,2909
Toyota,RAV4,2.2,Hybrid,1991.0,236533.0,1825
Toyota,Yaris,1.4,Hybrid,1995.0,201122.0,1710
VW,Polo,2.0,Petrol,2002.0,131550.0,4316
Toyota,Yaris,1.0,Petrol,1985.0,320312.0,204
Ford,Fiesta,1.0,Petrol,2013.0,74716.0,9406
VW,Golf,1.4,Diesel,2018.0,29288.0,26407
Ford,Fiesta,1.2,Petrol,2009.0,102632.0,6477
VW,Golf,1.4,Petrol,2011.0,66528.0,12532
VW,Passat,1.8,Diesel,2010.0,87016.0,15125
Ford,Focus,1.4,Petrol,1990.0,142038.0,2108
Ford,Fiesta,1.2,Diesel,,93134.0,3063
,Mondeo,1.6,Diesel,1990.0,291042.0,622
Toyota,Prius,1.8,Hybrid,,44804.0,31590
VW,Passat,2.0,Diesel,2006.0,54945.0,15139
Porsche,911,2.2,Petrol,1994.0,179261.0,5959
Toyota,RAV4,2.0,,,105379.0,10909
Ford,Mondeo,2.0,Diesel,,98398.0,8722
BMW,X3,3.0,Diesel,,45316.0,45374
Ford,Fiesta,1.2,Petrol,2017.0,45567.0,16240
Ford,Mondeo,2.0,Diesel,,138745.0,6405
BMW,M5,5.0,Petrol,2015.0,29966.0,91834
VW,Passat,1.4,,1993.0,162459.0,2394
Ford,Mondeo,1.8,,2013.0,63503.0,20516
Ford,Focus,1.4,Petrol,1989.0,,565
Ford,Focus,1.6,Diesel,2000.0,168944.0,3692
VW,Golf,1.4,Diesel,2019.0,22452.0,29338
Ford,Mondeo,1.6,Petrol,2008.0,154808.0,6682
,Golf,1.4,Diesel,,275416.0,571
Ford,Fiesta,1.2,Petrol,1996.0,160507.0,1726
BMW,Z4,,Petrol,2018.0,29220.0,43282
VW,Polo,1.2,Petrol,1999.0,275581.0,773
Ford,Focus,1.4,Petrol,2017.0,14259.0,30443
VW,Passat,1.6,Diesel,2000.0,168055.0,3894
Toyota,Yaris,1.2,Petrol,1988.0,90202.0,2023
Ford,Mondeo,2.0,Petrol,1999.0,,4260
BMW,X3,3.0,Diesel,,71902.0,27408
VW,Polo,1.2,Petrol,2003.0,,3167
Ford,Focus,1.4,Diesel,1992.0,125745.0,2878
Ford,Fiesta,1.4,Petrol,,99637.0,4484
,Golf,2.0,Petrol,2009.0,173060.0,5810
BMW,M5,5.0,Petrol,2011.0,91139.0,47380
VW,Golf,1.4,Petrol,,74616.0,7444
Ford,Focus,,Diesel,,82702.0,17936
VW,Golf,,Petrol,2012.0,78477.0,14773
Toyota,RAV4,2.2,Petrol,2001.0,138163.0,6927
VW,Polo,1.4,Petrol,2011.0,34845.0,12868
Ford,Focus,1.4,Petrol,2007.0,123306.0,7594
VW,Polo,1.0,Diesel,2012.0,75586.0,9427
,Polo,2.0,Petrol,2006.0,130488.0,5682
Porsche,Cayenne,,Petrol,1989.0,316160.0,1100
BMW,Z4,2.2,Petrol,1988.0,,1749
BMW,M5,5.0,Petrol,2018.0,38343.0,106806
Ford,Mondeo,1.8,Diesel,,23607.0,36476
Toyota,Yaris,1.0,Petrol,2014.0,72966.0,11781
Ford,Focus,1.6,Diesel,2012.0,46846.0,20297
Ford,Fiesta,1.0,Petrol,2018.0,21897.0,18194
,Golf,1.2,Petrol,2018.0,41367.0,21689
Ford,Focus,,Diesel,2017.0,26775.0,31895
Toyota,RAV4,1.8,Hybrid,2000.0,68359.0,11754
Toyota,Prius,1.8,Hybrid,2009.0,58557.0,19427
Toyota,Yaris,1.0,Petrol,2011.0,94629.0,8292
Porsche,911,2.2,Petrol,2015.0,48681.0,64445
Toyota,Yaris,1.4,Petrol,2011.0,93540.0,9889
VW,Passat,1.4,Petrol,1995.0,216900.0,1623
VW,Passat,1.6,Diesel,1991.0,193878.0,1711
VW,Polo,1.6,Petrol,2016.0,65845.0,15827
Toyota,Prius,1.0,Hybrid,2022.0,,47513
VW,Polo,1.4,Petrol,2002.0,58255.0,6116
,Fiesta,1.4,Petrol,2003.0,128300.0,3858
Ford,Mondeo,1.8,Diesel,1996.0,,4555
Toyota,Yaris,1.2,Petrol,1986.0,232349.0,547
,Prius,,Hybrid,2018.0,27619.0,37656
Toyota,RAV4,2.2,Hybrid,2008.0,65230.0,22614
Toyota,RAV4,2.4,Hybrid,,,6805
Ford,Mondeo,1.8,Diesel,,98002.0,12380
Porsche,911,3.0,Petrol,2009.0,153710.0,23451
Ford,Focus,1.8,Petrol,2016.0,43983.0,27242
Toyota,RAV4,2.2,Hybrid,1996.0,121742.0,6776
VW,Passat,1.4,Petrol,2008.0,77476.0,11880
VW,Golf,2.0,Petrol,2018.0,39779.0,28269
Ford,Mondeo,1.4,Diesel,2004.0,111886.0,7058
Ford,Mondeo,1.8,Diesel,1995.0,164802.0,2879
BMW,M5,5.0,Petrol,,4683.0,168001
BMW,M5,5.0,Petrol,,159285.0,10981
,Polo,2.0,Petrol,2005.0,148324.0,4608
VW,Polo,1.2,Petrol,2014.0,63925.0,12148
Ford,Mondeo,1.4,Diesel,2014.0,68064.0,18768
Toyota,Prius,1.8,Hybrid,2006.0,81990.0,13599
VW,Polo,1.0,Petrol,,110908.0,2740
VW,Polo,2.0,Petrol,2012.0,73598.0,12869
Toyota,RAV4,2.0,,2010.0,74630.0,23137
Ford,Focus,1.0,Petrol,1998.0,176251.0,2286
Porsche,718 Cayman,4.0,Petrol,,214012.0,2106
Porsche,911,2.2,Petrol,2020.0,6061.0,114563
Ford,Fiesta,,,2013.0,53571.0,12783
BMW,Z4,2.4,,2018.0,28543.0,43450
Toyota,Yaris,1.2,,1995.0,165337.0,1796
Toyota,RAV4,1.8,Hybrid,1998.0,53482.0,11327
Toyota,Prius,1.8,Hybrid,2018.0,19157.0,44763
VW,Polo,1.6,Petrol,1991.0,118535.0,2051
BMW,M5,5.0,Petrol,1994.0,210548.0,5776
Ford,Mondeo,,Hybrid,2007.0,85086.0,14313
Ford,Mondeo,1.4,Diesel,2014.0,16895.0,25566
Toyota,Yaris,1.2,Hybrid,2002.0,,4752
Ford,Mondeo,,Diesel,2006.0,108887.0,8249
Ford,Focus,1.0,Diesel,2014.0,69205.0,15887
BMW,X3,2.4,Diesel,2002.0,90864.0,11036
BMW,X3,3.0,Diesel,2003.0,91992.0,13084
Ford,Fiesta,1.2,Petrol,1999.0,228557.0,1163
Ford,Focus,1.6,Petrol,,128492.0,6383
Porsche,Cayenne,2.6,,2001.0,141929.0,9935
Ford,Focus,2.0,Diesel,2005.0,138656.0,7391
Ford,Fiesta,1.0,Petrol,,43733.0,6736
Ford,Focus,2.0,Diesel,,64955.0,15490
Ford,Mondeo,2.0,Hybrid,2018.0,31547.0,42002
Ford,Mondeo,2.0,Diesel,2018.0,29212.0,37249
Ford,Focus,,Petrol,2019.0,13730.0,34884
,Yaris,1.4,Hybrid,2020.0,11141.0,36227
Toyota,Prius,1.8,Hybrid,2017.0,35452.0,38175
VW,Golf,2.0,Petrol,2017.0,22737.0,29181
Toyota,Yaris,,Petrol,2002.0,169053.0,2534
,M5,4.4,Petrol,2000.0,130172.0,15924
VW,Golf,1.2,Diesel,2004.0,74292.0,7253
Toyota,Prius,1.8,Hybrid,1988.0,167790.0,2108
Ford,Focus,1.8,Petrol,2004.0,,10250
Toyota,RAV4,2.2,Hybrid,1992.0,250265.0,1719
VW,Passat,1.8,Diesel,2011.0,78291.0,17180
VW,Polo,1.6,Petrol,1995.0,115280.0,2746
Ford,Focus,1.4,Petrol,2012.0,67891.0,15805
Toyota,Yaris,1.0,Hybrid,1990.0,,516
VW,Passat,1.8,Petrol,2013.0,78447.0,18675
BMW,X3,2.4,,2017.0,21668.0,46581
VW,Polo,,Petrol,2018.0,40428.0,19852
Ford,Fiesta,1.2,Petrol,1990.0,198838.0,833
VW,Polo,1.2,Petrol,2002.0,105118.0,4092
Ford,Mondeo,1.4,Diesel,2011.0,87685.0,13433
VW,Passat,1.6,Diesel,2017.0,15929.0,35454
VW,Passat,1.8,Diesel,2002.0,156331.0,5205
VW,Golf,2.0,Diesel,,127472.0,2851
